no_instances,no_benders_iteration
0,0
1,3
2,6
3,6
4,6
5,7
6,7
7,8
8,8
9,8
10,8
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,11
42,11
43,11
44,12
45,12
46,12
47,12
48,12
49,12
50,12
51,13
52,13
53,13
54,13
55,13
56,13
57,13
58,13
59,14
60,14
61,14
62,14
63,14
64,14
65,14
66,15
67,15
68,15
69,16
70,16
71,16
72,16
73,17
74,17
75,18
76,18
77,19
78,19
79,19
80,20
81,20
82,21
83,21
84,22
85,22
86,23
87,23
88,23
89,24
90,24
91,25
92,26
93,26
94,27
95,27
96,27
97,29
98,37
99,38
100,41
100,42
